Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
41,Ricardo Batista,pt POR,GK,Casa Pia,38-025,1986,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
42,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23-163,2001,13,8,674,7.5,0.00,0.13,0.13,0.00,0.00,0.13,0.13,0.00,0.29,0.19,0.01,0.21,1.20,2.13,4.13,0.00,0.13,0.13,0.00,0.13,0.30,0.02,0.31,0.19,0.21,Matches
43,Gui Beleza,pt POR,MF,Gil Vicente FC,18-005,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Bachir Belloumi,dz ALG,FW,Farense,22-196,2002,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.03,0.10,2.67,4.67,6.67,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
45,Fahem Benaissa Yahia,fr FRA,"MF,DF",Casa Pia,22-229,2002,2,0,14,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
46,Beni,ao ANG,MF,Casa Pia,22-207,2002,7,5,451,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.02,0.02,0.02,0.04,0.80,5.00,0.80,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
47,�lex Bermejo,es ESP,"MF,FW",Farense,26-003,1998,9,4,387,4.3,0.23,0.00,0.23,0.23,0.00,0.00,0.47,0.00,0.33,0.33,0.09,0.42,1.86,2.33,6.05,0.23,0.00,0.23,0.23,0.23,0.31,0.10,0.41,0.31,0.41,Matches
48,Sim�o Bertelli,br BRA,GK,AVS Futebol,31-195,1993,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Jan-Niklas Beste,de GER,"FW,DF",Benfica,25-345,1999,8,3,286,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.22,0.22,0.28,0.50,4.06,4.38,12.5,0.00,0.00,0.00,0.00,0.00,0.21,0.29,0.50,0.21,0.50,Matches
50,Jos� Bica,pt POR,"FW,MF",Vit�ria,21-181,2003,2,0,17,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.29,0.48,0.18,0.48,Matches
51,Ra�l Blanco,es ESP,FW,Casa Pia,23-136,2001,5,3,250,2.8,0.36,0.00,0.36,0.36,0.00,0.00,0.36,0.00,0.11,0.11,0.00,0.11,0.71,3.93,5.00,0.36,0.00,0.36,0.36,0.36,0.11,0.00,0.11,0.11,0.11,Matches
52,K�vin Boma,tg TOG,DF,Estoril,22-024,2002,9,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.04,0.04,0.01,0.06,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
53,Kiko Bondoso,pt POR,"FW,MF",Rio Ave,29-027,1995,12,10,779,8.7,0.11,0.11,0.23,0.11,0.00,0.00,0.00,0.00,0.15,0.15,0.17,0.32,2.41,2.53,7.13,0.12,0.12,0.23,0.12,0.23,0.15,0.18,0.32,0.15,0.32,Matches
