Jogador,Time,Idade,Data de nascimento,Altura,Pé,Nacionalidade,Valor de mercado,Contrato expira em,Posição,Temporada,Index,Partidas jogadas,Minutos jogados,Disputas na defesa,"Disputas defensivas ganhas, %",Desarmes,% de desarmes bem sucedidos,Interceptações,Rebotes,Erros graves,Falhas em gols,Disputas no ataque,"Disputas ofensivas ganhas, %",Dribles,% de dribles com sucesso,Gols,Chances de gol,"Chances c/ sucesso, %",Chutes,Xg,Bolas perdidas,Bolas perdidas / no próprio campo,Passes,Passes chave,"Passes chave precisos,%",Passes dentro da área,"Passes dentro da área / precisos, %",Passa para o terço final,"Passa para frente (ângulo de captura - 120 graus) até o terço final, preciso, %",Escalações no time titular,Disputas aéreas,"Desafios aéreos vencidos, %",Faltas,Dribles no último terço do campo,"Dribles no último terço do campo com sucesso, %",Faltas sofridas,Bolas recuperadas,Bolas recuperadas no campo do adversário,Gols de cabeça,"Chutes no gol, %","Gols marcados do número total de chutes, %",Perdas individuais,Controle de bola ruim,Impedimentos,Passes precisos %,Assistências,Chances criadas,Passes progressivos,"Passes progressivos precisos,%",Passes longos,"Passes longos, precisos, %",Cruzamentos,% de precisão nos cruzamentos,Bolas perdidas após passes no próprio campo,xA
Vladan Danilovi?,Maritimo,25,1999-07-27,,-,Bosnia-Herzegovina,-,-,RCDM,2024/2025,188,30,2588,156,63%,61,57%,62,10,1,1,87,66%,28,82%,-,10,0%,35,2.05,103,15,1368,6,100%,36,47%,177,76%,26,52,48%,38,10,60%,60,171,65,-,11%,0%,39,-,1,89%,-,7,303,80%,37,62%,17,18%,8,2.28
Chriso,Mafra,25,1999-12-15,,-,Portugal,-,-,RCDM,2024/2025,175,32,2540,145,52%,57,60%,90,17,-,-,97,65%,40,68%,2,5,40%,27,0.96,145,31,938,3,100%,43,16%,181,50%,27,52,54%,59,12,50%,45,144,66,-,37%,7%,37,4,-,75%,-,3,296,53%,84,50%,7,0%,15,0.99
Aílson Tavares,Futebol Clube De Felgueiras,26,1998-07-20,188,Direita,"Cape Verde, Portugal",-,2022-06-30,RCDM,2024/2025,189,31,2526,188,55%,53,58%,91,10,-,-,106,73%,27,63%,1,3,33%,17,1.09,68,21,919,6,100%,24,42%,126,56%,26,109,64%,56,8,88%,33,154,58,-,29%,6%,24,-,-,81%,-,6,223,62%,43,47%,7,43%,10,1.1
Landinho,Futebol Clube De Felgueiras,32,1993-01-13,180,Direita,Portugal,-,2022-06-30,LCDM,2024/2025,185,32,2486,109,52%,47,57%,45,25,-,-,72,54%,19,47%,1,10,10%,39,1.82,134,18,1100,15,100%,104,38%,193,62%,27,55,62%,34,15,47%,30,86,44,-,23%,3%,33,2,1,79%,5,21,328,68%,67,49%,27,7%,12,6.55
Ageu,Futebol Clube De Alverca,23,2002-02-20,,-,Brazil,-,-,RCDM,2024/2025,199,27,2477,144,55%,35,49%,62,-,-,-,155,55%,31,55%,7,26,27%,49,7.86,126,30,767,12,100%,29,69%,93,56%,25,150,63%,54,10,40%,77,125,47,1,45%,14%,70,-,6,78%,3,14,191,63%,19,47%,9,22%,11,4.56
Diogo Prioste,Benfica II,21,2004-03-26,179,Ambos,Portugal,€1000K,-,RCDM,2024/2025,190,28,2450,112,48%,35,46%,75,43,2,-,41,71%,7,43%,7,10,70%,24,4.29,84,14,1423,6,100%,42,43%,180,69%,26,47,47%,20,3,67%,22,129,45,-,38%,29%,17,1,-,87%,1,7,327,74%,98,58%,10,20%,10,2.37
Daniel Lima de Castro,Sport Clube Uniao Torreense,25,1999-06-08,185,-,Brazil,-,-,RDM,2024/2025,188,31,2424,140,58%,59,59%,70,11,-,-,146,53%,66,56%,1,6,17%,18,1.74,139,30,976,11,100%,121,34%,135,64%,23,71,59%,24,31,39%,26,112,37,1,39%,6%,61,3,1,70%,3,13,195,57%,37,43%,53,15%,16,3.67
Sori Mané,Academico Viseu,29,1996-04-03,187,Direita,"Guinea-Bissau, Portugal",€400K,2023-06-30,RCDM,2024/2025,170,31,2398,137,55%,38,58%,70,18,2,1,51,67%,10,80%,-,4,0%,11,1.78,83,18,912,5,60%,17,24%,129,54%,24,86,58%,22,-,-,20,119,40,-,27%,0%,21,5,-,82%,2,7,223,57%,73,51%,4,25%,9,0.94
Tiago Manso,Tondela,25,1999-12-13,174,Direita,Portugal,€450K,2024-06-30,RDM,2024/2025,184,32,2253,157,55%,72,64%,60,10,4,2,85,40%,25,32%,3,9,33%,39,3.79,158,33,876,7,100%,75,47%,105,58%,23,40,33%,29,18,28%,18,92,20,-,33%,8%,61,2,4,72%,3,10,170,52%,47,40%,61,26%,24,4.74
Tomás Moreira,Benfica U23,19,2005-06-26,178,-,"Luxembourg, Portugal",-,2023-06-30,RCDM,2024/2025,175,29,2214,186,54%,94,57%,88,137,2,2,110,54%,23,52%,3,12,25%,21,2.71,119,22,935,10,60%,44,34%,105,71%,23,52,62%,50,12,42%,23,89,38,-,33%,14%,45,13,1,83%,2,10,193,67%,30,60%,15,27%,17,3.39
